Boylam;Enlem;PGA_2%;PGA_10%;PGA_50%;PGA_68%;SS_2%;SS_10%;SS_50%;SS_68%;S1_2%;S1_10%;S1_50%;S1_68%;PGV_2%;PGV_10%;PGV_50%;PGV_68%
24.75;40.55;0.725;0.363;0.122;0.079;1.805;0.877;0.29;0.182;0.471;0.232;0.084;0.058;44.522;22.001;7.784;5.264
24.75;40.65;0.656;0.323;0.108;0.069;1.633;0.781;0.25;0.159;0.428;0.212;0.078;0.054;40.486;19.794;7.079;4.76
24.85;39.55;0.538;0.286;0.115;0.084;1.321;0.679;0.267;0.196;0.368;0.199;0.082;0.06;34.065;18.161;7.517;5.518
24.85;39.65;0.545;0.293;0.121;0.088;1.338;0.699;0.284;0.207;0.384;0.208;0.085;0.062;35.264;18.939;7.822;5.717
24.85;39.75;0.567;0.314;0.132;0.097;1.398;0.754;0.307;0.223;0.408;0.222;0.09;0.065;37.158;20.357;8.325;6.039
24.85;39.85;0.598;0.345;0.15;0.109;1.485;0.831;0.344;0.25;0.437;0.24;0.097;0.069;39.543;22.048;9.08;6.527
24.85;39.95;0.718;0.416;0.172;0.123;1.779;0.996;0.404;0.289;0.518;0.279;0.106;0.074;46.949;26.1;10.287;7.203
24.85;40.05;0.945;0.526;0.199;0.138;2.353;1.256;0.455;0.316;0.672;0.34;0.114;0.077;62.469;33.227;11.322;7.679
24.85;40.15;1.016;0.558;0.206;0.142;2.514;1.329;0.473;0.325;0.717;0.359;0.118;0.078;66.54;35.188;11.69;7.805
24.85;40.25;0.832;0.472;0.191;0.132;2.11;1.155;0.443;0.307;0.593;0.312;0.112;0.076;54.458;29.798;10.999;7.49
24.85;40.35;0.833;0.449;0.171;0.115;2.097;1.099;0.405;0.27;0.559;0.288;0.105;0.071;51.812;27.411;10.094;6.702
24.85;40.45;0.807;0.418;0.15;0.097;2.022;1.015;0.348;0.225;0.529;0.264;0.095;0.064;49.669;25.198;8.927;5.925
24.85;40.55;0.753;0.38;0.128;0.082;1.875;0.918;0.302;0.19;0.489;0.241;0.087;0.059;46.126;22.915;8.032;5.375
24.85;40.65;0.684;0.338;0.112;0.072;1.702;0.818;0.262;0.164;0.444;0.219;0.08;0.055;42.026;20.644;7.344;4.876
24.85;40.75;0.611;0.298;0.099;0.063;1.521;0.714;0.228;0.147;0.4;0.199;0.075;0.052;37.596;18.315;6.594;4.476
24.95;39.35;0.61;0.307;0.113;0.081;1.506;0.731;0.262;0.189;0.389;0.199;0.079;0.058;37.549;18.726;7.213;5.334
24.95;39.45;0.707;0.323;0.113;0.081;1.703;0.766;0.261;0.188;0.453;0.21;0.081;0.059;44.849;20.034;7.333;5.388
24.95;39.55;0.61;0.307;0.114;0.083;1.499;0.729;0.265;0.192;0.399;0.207;0.082;0.06;38.25;19.346;7.502;5.489
24.95;39.65;0.615;0.311;0.119;0.086;1.512;0.741;0.278;0.203;0.415;0.214;0.085;0.062;39.619;19.95;7.763;5.653
24.95;39.75;0.652;0.33;0.127;0.093;1.594;0.787;0.297;0.215;0.439;0.227;0.089;0.064;41.895;21.292;8.158;5.899
24.95;39.85;0.576;0.325;0.141;0.104;1.427;0.785;0.323;0.235;0.421;0.231;0.094;0.068;38.176;21.175;8.684;6.275
24.95;39.95;0.637;0.372;0.162;0.118;1.583;0.891;0.379;0.278;0.466;0.256;0.104;0.074;42.131;23.565;9.789;7.032
24.95;40.05;0.781;0.452;0.191;0.137;1.943;1.099;0.441;0.314;0.571;0.304;0.112;0.078;51.718;28.884;11.028;7.679
24.95;40.15;1.013;0.567;0.212;0.147;2.527;1.357;0.489;0.336;0.734;0.37;0.121;0.08;67.764;36.321;12.015;7.981
24.95;40.25;0.861;0.498;0.203;0.14;2.193;1.215;0.466;0.321;0.628;0.331;0.116;0.078;57.375;31.661;11.452;7.684
24.95;40.35;0.837;0.461;0.181;0.123;2.111;1.129;0.425;0.29;0.568;0.297;0.109;0.074;52.298;28.299;10.543;7.012
24.95;40.45;0.826;0.433;0.158;0.104;2.075;1.056;0.372;0.24;0.544;0.274;0.1;0.066;50.937;26.139;9.344;6.163
24.95;40.55;0.78;0.398;0.137;0.087;1.943;0.959;0.318;0.203;0.505;0.25;0.09;0.061;47.631;23.828;8.325;5.529
24.95;40.65;0.712;0.355;0.117;0.075;1.772;0.857;0.278;0.171;0.46;0.227;0.082;0.056;43.595;21.476;7.566;5.021
24.95;40.75;0.637;0.312;0.104;0.066;1.586;0.753;0.238;0.151;0.415;0.206;0.076;0.053;39.233;19.086;6.806;4.577
24.95;40.85;0.565;0.271;0.09;0.059;1.392;0.649;0.21;0.135;0.37;0.185;0.071;0.049;34.611;16.896;6.182;4.249
24.95;40.95;0.498;0.237;0.08;0.054;1.228;0.567;0.185;0.122;0.334;0.17;0.066;0.046;30.906;15.232;5.725;4.008
25.05;39.15;0.689;0.342;0.123;0.088;1.672;0.811;0.287;0.206;0.415;0.203;0.079;0.058;41.355;19.799;7.375;5.417
25.05;39.25;0.602;0.312;0.117;0.084;1.486;0.745;0.273;0.197;0.377;0.195;0.079;0.058;36.507;18.518;7.265;5.369
25.05;39.35;0.591;0.302;0.114;0.082;1.455;0.719;0.264;0.191;0.378;0.195;0.079;0.058;36.234;18.285;7.244;5.363
25.05;39.45;0.607;0.306;0.113;0.082;1.494;0.727;0.261;0.189;0.391;0.201;0.08;0.059;37.713;18.865;7.327;5.396
25.05;39.55;0.709;0.327;0.114;0.082;1.704;0.773;0.264;0.191;0.454;0.215;0.082;0.06;44.818;20.483;7.49;5.479
25.05;39.65;0.614;0.317;0.118;0.085;1.521;0.756;0.275;0.199;0.409;0.214;0.085;0.061;38.873;20.169;7.731;5.621
25.05;39.75;0.78;0.36;0.126;0.091;1.866;0.848;0.293;0.211;0.511;0.24;0.089;0.064;50.041;22.938;8.108;5.841
25.05;39.85;0.677;0.353;0.139;0.102;1.659;0.841;0.319;0.231;0.453;0.24;0.094;0.067;42.993;22.599;8.649;6.211
25.05;39.95;0.628;0.364;0.16;0.117;1.56;0.873;0.371;0.273;0.451;0.25;0.103;0.073;40.976;22.956;9.619;6.959
25.05;40.05;0.738;0.433;0.189;0.138;1.835;1.047;0.437;0.315;0.536;0.292;0.112;0.078;48.421;27.276;10.908;7.692
25.05;40.15;1.069;0.591;0.22;0.152;2.651;1.421;0.508;0.348;0.755;0.384;0.124;0.082;70.295;37.859;12.377;8.162
25.05;40.25;1.046;0.591;0.222;0.152;2.627;1.434;0.517;0.349;0.744;0.384;0.124;0.081;68.619;37.666;12.441;8.104
25.05;40.35;0.876;0.497;0.204;0.141;2.212;1.211;0.469;0.321;0.594;0.315;0.114;0.077;54.894;30.101;11.294;7.608
25.05;40.45;0.848;0.452;0.171;0.115;2.136;1.106;0.406;0.269;0.559;0.286;0.104;0.07;52.302;27.251;9.971;6.576
25.05;40.55;0.802;0.413;0.147;0.093;2.006;1;0.339;0.217;0.52;0.259;0.093;0.063;49.01;24.704;8.672;5.741
25.05;40.65;0.739;0.371;0.124;0.079;1.841;0.896;0.292;0.181;0.477;0.235;0.085;0.057;45.134;22.302;7.797;5.195
25.05;40.75;0.665;0.327;0.108;0.068;1.654;0.792;0.25;0.157;0.43;0.212;0.078;0.054;40.798;19.91;7.044;4.694
25.05;40.85;0.59;0.286;0.094;0.061;1.46;0.683;0.218;0.14;0.384;0.191;0.073;0.05;36.104;17.571;6.353;4.333
25.05;40.95;0.522;0.249;0.083;0.055;1.287;0.596;0.193;0.125;0.346;0.175;0.067;0.047;32.206;15.784;5.85;4.069
25.05;41.05;0.501;0.226;0.075;0.051;1.229;0.539;0.172;0.116;0.332;0.164;0.063;0.044;31.136;14.723;5.48;3.877
25.05;41.15;0.464;0.206;0.069;0.048;1.134;0.486;0.159;0.11;0.314;0.155;0.06;0.042;29.496;13.647;5.19;3.735
25.15;38.15;0.52;0.277;0.108;0.078;1.269;0.652;0.247;0.177;0.301;0.156;0.065;0.049;28.817;14.691;5.978;4.493
25.15;38.25;0.54;0.287;0.114;0.083;1.32;0.679;0.263;0.192;0.316;0.162;0.067;0.051;30.435;15.403;6.252;4.718
25.15;38.35;0.564;0.3;0.12;0.087;1.384;0.714;0.281;0.206;0.331;0.169;0.07;0.053;32.166;16.24;6.562;4.969
25.15;38.45;0.583;0.311;0.125;0.091;1.436;0.744;0.292;0.214;0.346;0.176;0.073;0.055;33.701;17.015;6.881;5.241
25.15;38.95;0.621;0.333;0.133;0.097;1.527;0.796;0.309;0.224;0.372;0.192;0.079;0.059;36.151;18.548;7.518;5.582
25.15;39.05;0.668;0.347;0.13;0.094;1.633;0.825;0.304;0.219;0.404;0.202;0.08;0.059;39.847;19.65;7.532;5.555
25.15;39.15;0.718;0.36;0.128;0.091;1.742;0.85;0.298;0.213;0.434;0.21;0.08;0.059;43.153;20.68;7.537;5.528
25.15;39.25;0.671;0.336;0.122;0.087;1.636;0.8;0.285;0.205;0.411;0.205;0.08;0.059;40.663;19.771;7.449;5.471
25.15;39.35;0.594;0.305;0.116;0.084;1.462;0.727;0.27;0.196;0.378;0.196;0.08;0.059;36.422;18.356;7.332;5.419
25.15;39.45;0.56;0.292;0.113;0.082;1.374;0.696;0.263;0.191;0.364;0.194;0.08;0.059;34.401;17.936;7.337;5.424
25.15;39.55;0.649;0.312;0.113;0.082;1.579;0.741;0.263;0.191;0.417;0.207;0.082;0.06;40.912;19.503;7.452;5.478
25.15;39.65;0.646;0.318;0.117;0.085;1.578;0.756;0.271;0.197;0.421;0.214;0.084;0.061;40.786;20.141;7.667;5.597
25.15;39.75;0.66;0.338;0.124;0.09;1.625;0.804;0.29;0.209;0.435;0.226;0.088;0.064;41.635;21.449;8.036;5.807
25.15;39.85;0.848;0.401;0.138;0.1;2.043;0.935;0.318;0.228;0.554;0.261;0.095;0.067;54.246;25.32;8.642;6.177
25.15;39.95;0.7;0.391;0.162;0.118;1.724;0.928;0.375;0.274;0.472;0.257;0.103;0.074;44.015;24.13;9.694;6.981
25.15;40.05;0.731;0.432;0.192;0.141;1.817;1.042;0.441;0.32;0.52;0.287;0.113;0.079;47.234;26.759;10.983;7.8
25.15;40.15;1.01;0.584;0.23;0.16;2.542;1.411;0.535;0.369;0.708;0.375;0.128;0.084;65.584;36.666;12.882;8.496
25.15;40.25;1.069;0.613;0.251;0.167;2.692;1.479;0.583;0.388;0.751;0.391;0.137;0.086;85.16;46.451;14;8.707
25.15;40.35;0.912;0.532;0.221;0.155;2.308;1.292;0.516;0.357;0.626;0.335;0.121;0.081;57.648;32.173;12.161;8.15
25.15;40.45;0.869;0.475;0.19;0.13;2.186;1.158;0.442;0.303;0.571;0.295;0.109;0.074;53.438;28.391;10.665;7.222
25.15;40.55;0.821;0.427;0.155;0.103;2.062;1.04;0.363;0.234;0.534;0.267;0.097;0.065;50.289;25.552;9.075;6.011
25.15;40.65;0.766;0.387;0.131;0.083;1.906;0.935;0.307;0.192;0.492;0.242;0.087;0.059;46.607;23.113;8.051;5.362
25.15;40.75;0.691;0.342;0.113;0.072;1.721;0.828;0.263;0.163;0.445;0.219;0.08;0.055;42.29;20.708;7.306;4.823
25.15;40.85;0.614;0.299;0.098;0.063;1.528;0.718;0.227;0.145;0.399;0.198;0.074;0.051;37.625;18.281;6.539;4.423
25.15;40.95;0.547;0.261;0.086;0.057;1.348;0.625;0.202;0.129;0.359;0.18;0.068;0.048;33.539;16.364;5.986;4.136
25.15;41.05;0.524;0.236;0.078;0.053;1.282;0.563;0.177;0.118;0.344;0.168;0.064;0.045;32.384;15.184;5.581;3.928
25.15;41.15;0.467;0.211;0.071;0.049;1.145;0.499;0.162;0.112;0.316;0.157;0.06;0.043;29.623;13.911;5.287;3.785
25.15;41.25;0.426;0.196;0.068;0.048;1.035;0.461;0.155;0.109;0.287;0.147;0.058;0.042;26.377;12.886;5.046;3.671
25.25;37.85;0.492;0.242;0.088;0.063;1.159;0.554;0.198;0.144;0.288;0.146;0.059;0.044;26.729;13;5.151;3.871
25.25;37.95;0.559;0.277;0.097;0.069;1.321;0.635;0.22;0.156;0.308;0.154;0.062;0.047;29.798;14.464;5.584;4.148
25.25;38.05;0.578;0.294;0.106;0.076;1.384;0.682;0.24;0.17;0.317;0.16;0.065;0.049;30.87;15.206;5.928;4.415
25.25;38.15;0.573;0.298;0.112;0.081;1.388;0.7;0.258;0.185;0.321;0.163;0.067;0.051;31.296;15.624;6.202;4.649
25.25;38.25;0.558;0.296;0.117;0.085;1.367;0.704;0.274;0.2;0.325;0.167;0.069;0.053;31.425;15.904;6.444;4.873
25.25;38.35;0.571;0.305;0.123;0.09;1.405;0.73;0.289;0.211;0.335;0.172;0.072;0.054;32.51;16.571;6.747;5.132
25.25;38.45;0.598;0.319;0.129;0.095;1.479;0.769;0.301;0.22;0.354;0.181;0.075;0.056;34.526;17.563;7.108;5.369
25.25;38.55;0.641;0.34;0.135;0.099;1.585;0.817;0.314;0.229;0.38;0.192;0.077;0.057;37.395;18.839;7.431;5.526
25.25;38.65;0.714;0.364;0.14;0.103;1.739;0.869;0.325;0.236;0.423;0.204;0.079;0.059;42.148;20.385;7.639;5.655
25.25;38.75;0.696;0.361;0.142;0.104;1.705;0.863;0.328;0.239;0.42;0.204;0.08;0.059;41.779;20.226;7.722;5.726
25.25;38.85;0.653;0.349;0.141;0.104;1.607;0.835;0.326;0.238;0.391;0.198;0.08;0.06;38.487;19.351;7.728;5.751
25.25;38.95;0.627;0.337;0.138;0.102;1.546;0.809;0.319;0.233;0.377;0.195;0.08;0.06;36.726;18.805;7.678;5.719
25.25;39.05;0.651;0.343;0.134;0.098;1.597;0.819;0.312;0.226;0.392;0.2;0.081;0.06;38.436;19.381;7.657;5.672
25.25;39.15;0.725;0.363;0.132;0.095;1.757;0.858;0.306;0.22;0.443;0.212;0.082;0.06;43.897;20.768;7.67;5.64
25.25;39.25;0.69;0.349;0.127;0.091;1.684;0.829;0.297;0.213;0.424;0.209;0.082;0.06;41.839;20.362;7.616;5.593
25.25;39.35;0.62;0.316;0.12;0.087;1.52;0.754;0.282;0.205;0.388;0.2;0.081;0.06;37.63;18.809;7.48;5.52
25.25;39.45;0.552;0.289;0.115;0.084;1.349;0.688;0.267;0.196;0.358;0.192;0.081;0.06;33.726;17.627;7.385;5.474
25.25;39.55;0.564;0.29;0.113;0.083;1.377;0.689;0.263;0.193;0.368;0.196;0.082;0.06;34.875;18.031;7.417;5.49
25.25;39.65;0.654;0.309;0.115;0.084;1.584;0.733;0.267;0.196;0.428;0.21;0.084;0.061;41.802;19.466;7.579;5.578
25.25;39.75;0.598;0.313;0.121;0.088;1.477;0.747;0.284;0.207;0.402;0.214;0.087;0.063;37.762;19.946;7.905;5.768
25.25;39.85;0.718;0.364;0.135;0.098;1.753;0.862;0.312;0.225;0.468;0.241;0.093;0.067;45.028;23.014;8.506;6.125
25.25;39.95;0.829;0.42;0.159;0.115;2.008;0.992;0.368;0.267;0.544;0.273;0.103;0.074;52.524;26.313;9.603;6.873
25.25;40.05;0.769;0.444;0.193;0.141;1.907;1.076;0.444;0.321;0.532;0.292;0.114;0.08;49.045;27.593;11.091;7.854
25.25;40.15;1;0.588;0.237;0.165;2.527;1.428;0.557;0.384;0.702;0.378;0.131;0.087;64.858;36.787;13.348;8.767
25.25;40.25;1.144;0.664;0.28;0.179;2.878;1.606;0.637;0.413;0.827;0.432;0.149;0.091;100.697;55.885;15.41;9.23
25.25;40.35;0.93;0.558;0.234;0.164;2.38;1.359;0.555;0.385;0.662;0.36;0.129;0.085;60.427;34.4;13.047;8.633
25.25;40.45;0.879;0.491;0.206;0.145;2.212;1.196;0.473;0.329;0.582;0.306;0.114;0.078;54.353;29.312;11.234;7.695
25.25;40.55;0.837;0.441;0.165;0.111;2.108;1.078;0.392;0.257;0.546;0.276;0.102;0.068;51.37;26.382;9.565;6.354
25.25;40.65;0.787;0.402;0.139;0.088;1.964;0.97;0.323;0.206;0.506;0.25;0.09;0.061;47.921;23.882;8.336;5.535
25.25;40.75;0.716;0.357;0.118;0.075;1.782;0.862;0.278;0.17;0.46;0.226;0.082;0.056;43.697;21.45;7.525;4.965
25.25;40.85;0.638;0.312;0.103;0.065;1.587;0.753;0.237;0.149;0.413;0.204;0.076;0.052;39.102;18.996;6.738;4.519
25.25;40.95;0.567;0.273;0.089;0.058;1.4;0.652;0.208;0.133;0.37;0.185;0.07;0.048;34.679;16.901;6.131;4.205
25.25;41.05;0.535;0.244;0.08;0.054;1.313;0.583;0.183;0.121;0.35;0.172;0.065;0.046;32.975;15.568;5.688;3.981
25.25;41.15;0.485;0.218;0.073;0.05;1.186;0.516;0.166;0.113;0.326;0.16;0.061;0.043;30.675;14.259;5.363;3.825
25.25;41.25;0.429;0.198;0.069;0.048;1.047;0.467;0.157;0.11;0.291;0.149;0.059;0.042;26.772;13.056;5.11;3.715
25.25;41.35;0.42;0.192;0.067;0.047;1.021;0.453;0.153;0.108;0.278;0.142;0.057;0.041;25.577;12.454;4.917;3.606
25.25;41.45;0.424;0.193;0.066;0.047;1.033;0.455;0.152;0.107;0.273;0.138;0.055;0.04;25.396;12.213;4.789;3.519
25.25;41.55;0.432;0.197;0.066;0.047;1.055;0.465;0.152;0.107;0.274;0.136;0.054;0.039;25.68;12.164;4.7;3.445
25.25;41.65;0.445;0.204;0.067;0.047;1.09;0.48;0.155;0.108;0.277;0.136;0.053;0.038;26.27;12.263;4.644;3.386
25.25;41.75;0.459;0.211;0.069;0.047;1.126;0.499;0.158;0.109;0.283;0.136;0.052;0.038;27.045;12.46;4.606;3.334
25.25;41.85;0.474;0.219;0.071;0.048;1.163;0.518;0.162;0.11;0.289;0.136;0.051;0.037;27.91;12.694;4.564;3.278
25.25;41.95;0.486;0.224;0.072;0.048;1.194;0.533;0.164;0.111;0.294;0.136;0.049;0.035;28.611;12.828;4.49;3.2
25.25;42.05;0.487;0.225;0.072;0.048;1.197;0.535;0.164;0.11;0.292;0.133;0.047;0.033;28.588;12.729;4.369;3.089
25.35;37.75;0.437;0.214;0.082;0.061;1.013;0.483;0.183;0.136;0.277;0.141;0.058;0.043;24.489;11.993;4.826;3.673
25.35;37.85;0.478;0.234;0.087;0.064;1.132;0.538;0.198;0.145;0.296;0.148;0.06;0.044;27.354;13.022;5.171;3.887
25.35;37.95;0.562;0.277;0.099;0.071;1.337;0.638;0.222;0.159;0.327;0.159;0.063;0.047;31.658;14.85;5.667;4.209
25.35;38.05;0.613;0.308;0.109;0.078;1.478;0.717;0.248;0.175;0.347;0.168;0.067;0.05;34.14;16.169;6.111;4.537
25.35;38.15;0.617;0.314;0.116;0.083;1.498;0.739;0.268;0.192;0.352;0.172;0.069;0.053;34.586;16.664;6.421;4.805
25.35;38.25;0.627;0.325;0.124;0.089;1.529;0.772;0.289;0.208;0.353;0.177;0.072;0.054;34.773;17.217;6.779;5.117
25.35;38.35;0.615;0.325;0.128;0.094;1.515;0.779;0.3;0.218;0.356;0.181;0.074;0.055;34.89;17.603;7.047;5.326
25.35;38.45;0.637;0.335;0.132;0.097;1.574;0.806;0.309;0.226;0.378;0.19;0.077;0.057;37.154;18.631;7.348;5.474
25.35;38.55;0.713;0.365;0.14;0.103;1.741;0.873;0.325;0.236;0.425;0.206;0.079;0.059;42.295;20.527;7.652;5.652
25.35;38.65;0.723;0.375;0.144;0.105;1.77;0.895;0.334;0.242;0.437;0.211;0.081;0.06;43.287;21.119;7.825;5.768
25.35;38.75;0.656;0.353;0.144;0.106;1.627;0.852;0.334;0.244;0.397;0.202;0.081;0.06;38.894;19.832;7.847;5.822
25.35;38.85;0.64;0.345;0.143;0.105;1.587;0.831;0.331;0.243;0.388;0.198;0.081;0.061;37.913;19.292;7.826;5.835
25.35;38.95;0.64;0.344;0.142;0.105;1.58;0.827;0.328;0.241;0.384;0.198;0.082;0.061;37.54;19.16;7.841;5.852
25.35;39.05;0.631;0.34;0.139;0.102;1.558;0.816;0.321;0.235;0.383;0.199;0.082;0.061;37.23;19.131;7.811;5.813
25.35;39.15;0.677;0.353;0.136;0.099;1.657;0.84;0.315;0.228;0.41;0.208;0.083;0.061;40.387;20.197;7.816;5.769
25.35;39.25;0.712;0.36;0.133;0.096;1.731;0.854;0.309;0.222;0.441;0.214;0.083;0.061;43.416;20.847;7.818;5.742
25.35;39.35;0.629;0.327;0.126;0.091;1.549;0.784;0.295;0.214;0.397;0.204;0.083;0.061;38.345;19.303;7.676;5.665
25.35;39.45;0.561;0.295;0.118;0.086;1.371;0.704;0.278;0.204;0.36;0.193;0.082;0.06;34.012;17.771;7.498;5.57
25.35;39.55;0.536;0.282;0.114;0.084;1.312;0.671;0.265;0.197;0.353;0.191;0.082;0.06;33.001;17.402;7.427;5.528
25.35;39.65;0.568;0.289;0.114;0.084;1.384;0.686;0.265;0.196;0.374;0.198;0.083;0.061;35.446;18.132;7.512;5.573
25.35;39.75;0.586;0.297;0.119;0.087;1.431;0.707;0.277;0.205;0.394;0.207;0.086;0.063;37.251;18.905;7.761;5.724
25.35;39.85;0.58;0.315;0.13;0.096;1.432;0.755;0.302;0.22;0.401;0.219;0.091;0.066;36.91;20.247;8.259;6.037
25.35;39.95;0.741;0.383;0.152;0.11;1.804;0.909;0.349;0.253;0.499;0.257;0.1;0.072;47.58;24.287;9.235;6.656
25.35;40.05;0.802;0.45;0.189;0.137;1.982;1.088;0.437;0.314;0.546;0.294;0.113;0.079;51.096;28.092;10.994;7.779
25.35;40.15;0.997;0.586;0.238;0.166;2.514;1.422;0.56;0.388;0.701;0.378;0.133;0.088;64.762;36.574;13.492;8.875
25.35;40.25;1.193;0.696;0.297;0.187;3.003;1.697;0.679;0.43;0.856;0.455;0.158;0.094;103.385;58.539;16.511;9.616
25.35;40.35;1.017;0.609;0.252;0.174;2.601;1.506;0.589;0.406;0.726;0.399;0.138;0.089;66.065;38.466;14.237;9.09
25.35;40.45;0.873;0.499;0.214;0.152;2.202;1.219;0.498;0.351;0.589;0.315;0.119;0.081;54.653;30.092;11.77;8.064
25.35;40.55;0.851;0.457;0.178;0.121;2.143;1.115;0.419;0.287;0.556;0.284;0.106;0.072;52.122;27.212;10.193;6.813
25.35;40.65;0.805;0.414;0.147;0.094;2.014;1.002;0.339;0.217;0.519;0.257;0.093;0.062;49.093;24.602;8.633;5.722
25.35;40.75;0.738;0.37;0.122;0.078;1.838;0.894;0.289;0.177;0.474;0.233;0.084;0.057;44.993;22.16;7.718;5.107
25.35;40.85;0.66;0.325;0.106;0.067;1.644;0.787;0.246;0.153;0.427;0.21;0.077;0.053;40.487;19.744;6.938;4.611
25.35;40.95;0.586;0.284;0.092;0.059;1.452;0.679;0.215;0.136;0.381;0.19;0.072;0.049;35.835;17.455;6.27;4.27
25.35;41.05;0.537;0.25;0.082;0.055;1.322;0.599;0.189;0.123;0.352;0.174;0.066;0.046;33.024;15.851;5.785;4.028
25.35;41.15;0.505;0.224;0.075;0.051;1.231;0.531;0.169;0.115;0.336;0.163;0.062;0.044;31.823;14.582;5.43;3.857
25.35;41.25;0.431;0.199;0.069;0.049;1.055;0.47;0.158;0.11;0.295;0.15;0.059;0.042;27.196;13.196;5.148;3.736
25.35;41.35;0.418;0.192;0.067;0.047;1.017;0.452;0.154;0.108;0.279;0.143;0.057;0.041;25.638;12.514;4.953;3.632
25.35;41.45;0.423;0.193;0.066;0.047;1.03;0.454;0.152;0.107;0.273;0.139;0.056;0.04;25.36;12.231;4.817;3.544
25.35;41.55;0.429;0.196;0.066;0.047;1.047;0.461;0.152;0.107;0.272;0.136;0.054;0.039;25.521;12.125;4.703;3.451
25.35;41.65;0.44;0.201;0.067;0.047;1.078;0.474;0.153;0.107;0.275;0.135;0.053;0.039;26.013;12.181;4.634;3.383
25.35;41.75;0.454;0.208;0.068;0.047;1.113;0.491;0.156;0.108;0.28;0.135;0.052;0.038;26.728;12.349;4.584;3.325
25.35;41.85;0.467;0.215;0.069;0.047;1.148;0.509;0.159;0.109;0.286;0.135;0.051;0.037;27.564;12.544;4.531;3.262
25.35;41.95;0.475;0.219;0.07;0.047;1.167;0.519;0.161;0.109;0.288;0.134;0.049;0.035;27.972;12.594;4.452;3.183
25.35;42.05;0.476;0.22;0.07;0.047;1.17;0.521;0.16;0.108;0.287;0.132;0.047;0.033;27.94;12.479;4.351;3.091
